fastq_id    sample_id   lib_type
SRR5564260  SRR5564260  fr-firststrand
SRR5564261  SRR5564261  fr-firststrand
SRR5564262  SRR5564262  fr-firststrand
SRR5564263  SRR5564263  fr-firststrand
SRR5564264  SRR5564264  fr-firststrand
SRR5564265  SRR5564265  fr-firststrand
SRR5564266  SRR5564266  fr-firststrand
SRR5564267  SRR5564267  fr-firststrand
SRR5564268  SRR5564268  fr-firststrand
SRR5564269  SRR5564269  fr-firststrand
SRR5564270  SRR5564270  fr-firststrand
SRR5564271  SRR5564271  fr-firststrand
SRR5564272  SRR5564272  fr-firststrand
SRR5564273  SRR5564273  fr-firststrand
SRR5564274  SRR5564274  fr-firststrand
SRR5564275  SRR5564275  fr-firststrand
SRR5564276  SRR5564276  fr-firststrand
SRR5564277  SRR5564277  fr-firststrand
