fastq_id    sample_id   lib_type
SRR10294571 SRR10294571 fr-firststrand
SRR10294572 SRR10294572 fr-firststrand
SRR10294573 SRR10294573 fr-firststrand
SRR10294574 SRR10294574 fr-firststrand
SRR10294575 SRR10294575 fr-firststrand
SRR10294576 SRR10294576 fr-firststrand
SRR10294577 SRR10294577 fr-firststrand
SRR10294578 SRR10294578 fr-firststrand
SRR10294579 SRR10294579 fr-firststrand
SRR10294580 SRR10294580 fr-firststrand
SRR10294581 SRR10294581 fr-firststrand
SRR10294582 SRR10294582 fr-firststrand
